sno,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score,trending_score
348,http://flipkart.com/maniac-checkered-men-round-neck-white-black-t-shirt/p/itmf3yw8vswznhgz?pid=TSHF32A9PQSXTYH5&lid=LSTTSHF32A9PQSXTYH5KIEYOF&marketplace=FLIPKART&srno=b_9_352&otracker=browse&fm=organic&iid=58be204e-772d-4f49-90bc-15c9e8d0d0d2.TSHF32A9PQSXTYH5.SEARCH&ssid=cauxccb7pc0000001594558675974,348,"Checkered Men Round Neck White, Black T-Shirt",3.8,93823,13593,wonderful good quality😍😇 nice product in this price 👏✊👍 awesome products,2.0587,0.205853648,29508.1205853648
137,http://flipkart.com/maniac-checkered-men-round-neck-dark-green-black-t-shirt/p/itmfhb9r2dfugxaq?pid=TSHFH9W8ZZMAPYXV&lid=LSTTSHFH9W8ZZMAPYXVIQKMNE&marketplace=FLIPKART&srno=b_4_139&otracker=browse&fm=organic&iid=9756798c-38ff-41c7-aef4-c55f9338907b.TSHFH9W8ZZMAPYXV.SEARCH&ssid=ge4c1q3krk0000001594558670633,137,"Checkered Men Round Neck Dark Green, Black T-Shirt",3.8,93823,13593,wonderful good quality😍😇 nice product in this price 👏✊👍 awesome products,2.0587,0.205853648,29508.1205853648
294,http://flipkart.com/maniac-checkered-men-round-neck-white-black-t-shirt/p/itmf3yw8xevhdfrc?pid=TSHF32A9GFFVGVR7&lid=LSTTSHF32A9GFFVGVR7DQ1NQT&marketplace=FLIPKART&srno=b_8_298&otracker=browse&fm=organic&iid=a3f2b7d8-ebd4-45c7-9382-c0819b1a2217.TSHF32A9GFFVGVR7.SEARCH&ssid=57zop7uy4g0000001594558675018,294,"Checkered Men Round Neck White, Black T-Shirt",3.8,93823,13593,wonderful good quality😍😇 nice product in this price 👏✊👍 awesome products,2.0587,0.205853648,29508.1205853648
259,http://flipkart.com/maniac-checkered-men-round-neck-red-black-t-shirt/p/itmfchs9fqzjmggw?pid=TSHFCKVRR3SUUBR5&lid=LSTTSHFCKVRR3SUUBR5CNJ8RT&marketplace=FLIPKART&srno=b_7_263&otracker=browse&fm=organic&iid=4746c189-54f6-4625-b477-2b64f473795c.TSHFCKVRR3SUUBR5.SEARCH&ssid=6mmp9c07a80000001594558674040,259,"Checkered Men Round Neck Red, Black T-Shirt",3.8,93823,13593,wonderful good quality😍😇 nice product in this price 👏✊👍 awesome products,2.0587,0.205853648,29508.1205853648
101,http://flipkart.com/helmont-solid-men-hooded-neck-yellow-t-shirt/p/itm2a5409402f5fb?pid=TSHFMMYYPFNMAH53&lid=LSTTSHFMMYYPFNMAH53AYYDCM&marketplace=FLIPKART&srno=b_3_103&otracker=browse&fm=organic&iid=c09d5f75-3b15-4883-988f-c5a4387ea141.TSHFMMYYPFNMAH53.SEARCH&ssid=ts34bhz2f40000001594558669663,101,Solid Men Hooded Neck Yellow T-Shirt,4.0,92913,12391,awesome product and best quality i am happy thank you flipkart❤️❤️❤️ awesome dress and good qualityi luv this awesome product very nice i like this product very much,4.6678,0.2947402,29115.029474019997
87,http://flipkart.com/helmont-striped-men-hooded-neck-maroon-t-shirt/p/itmfdfvubqaue6jz?pid=TSHFDFTFYV33SHEK&lid=LSTTSHFDFTFYV33SHEKUZRZLW&marketplace=FLIPKART&srno=b_3_89&otracker=browse&fm=organic&iid=c09d5f75-3b15-4883-988f-c5a4387ea141.TSHFDFTFYV33SHEK.SEARCH&ssid=ts34bhz2f40000001594558669663,87,Striped Men Hooded Neck Maroon T-Shirt,4.0,92913,12391,awesome product and best quality i am happy thank you flipkart❤️❤️❤️ awesome dress and good qualityi luv this awesome product very nice i like this product very much,4.6678,0.2947401,29115.029474009996
167,http://flipkart.com/tripr-abstract-men-hooded-neck-red-t-shirt/p/itmfdyzfvgtmnvxs?pid=TSHFDYGV9HKDGBHJ&lid=LSTTSHFDYGV9HKDGBHJZUKD5M&marketplace=FLIPKART&srno=b_5_169&otracker=browse&fm=organic&iid=faf9042e-7c70-47d2-a105-43465d4ad882.TSHFDYGV9HKDGBHJ.SEARCH&ssid=2zp4qg63ls0000001594558671510,167,Abstract Men Hooded Neck Red T-Shirt,4.0,72812,9454,nice tshirt value for money product good quality bst colour is not that dark but well designde and satisfied product😁,1.8966,0.154379162,22791.0154379162
7,http://flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj?pid=TSHFBDGVRGG489F2&lid=LSTTSHFBDGVRGG489F2HQONGY&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFBDGVRGG489F2.SEARCH&ssid=q34d5cw9vk0000001594558667706,7,Abstract Men Hooded Neck Dark Blue T-Shirt,4.0,72811,9453,nice tshirt value for money product good quality bst colour is not that dark but well designde and satisfied product😁,1.8966,0.154372427,22790.615437242697
190,http://flipkart.com/lewel-color-block-men-hooded-neck-red-white-blue-t-shirt/p/itm0af2da7b0492d?pid=TSHFGXA9HWGEZ6JK&lid=LSTTSHFGXA9HWGEZ6JKAKKDUF&marketplace=FLIPKART&srno=b_5_192&otracker=browse&fm=organic&iid=faf9042e-7c70-47d2-a105-43465d4ad882.TSHFGXA9HWGEZ6JK.SEARCH&ssid=2zp4qg63ls0000001594558671510,190,"Color Block Men Hooded Neck Red, White, Blue T-Shirt",4.0,71928,9760,nyc excellent ❤️it looks amazing,1.1578,0.134575394,22556.4134575394
206,http://flipkart.com/lewel-color-block-men-hooded-neck-multicolor-t-shirt/p/itmd972e4ca76048?pid=TSHFBA3HHDUGKHDQ&lid=LSTTSHFBA3HHDUGKHDQLGM2PW&marketplace=FLIPKART&srno=b_6_208&otracker=browse&fm=organic&iid=871131f8-fe7f-4004-be84-ebc2138e98ab.TSHFBA3HHDUGKHDQ.SEARCH&ssid=q68lubod280000001594558672762,206,Color Block Men Hooded Neck Multicolor T-Shirt,4.0,71928,9760,nyc excellent ❤️it looks amazing,1.1578,0.134575394,22556.4134575394
